Country_Name,Food_production_index,Foreign_direct_investmen,Acces_to_electricity ,Total_tax_and_contribution_rate ,Secure_Internet_servers,Agriculture_forestry_and_fishing_value_added ,Industry_value added_percentof_gdp,GDP,GDP_growth ,Inflation_GDP_deflator_annual,Unemployment_total_percent_of_total_labor_force,Rural_population_percent_of_total_population,Life_expectancy_at_birth_total_years,International_tourism_expenditures_percent_of_total_imports
Iraq,107.98,-32000,100,26.1,0.033622513,4.634745507,84.79597915,48364250944,16.92166569,24.61243674,8.727000237,31.504,69.082,0
Iceland,78.66,155160734.1,100,26.8,2333.032534,7.003858574,23.06831891,9025660362,4.98504277,4.024793341,1.940000057,7.599,79.65365854,0
Israel,77.59,8047500000,100,35.5,444.4094653,1.330471508,23.43420199,1.32E+11,8.892274486,2.252626865,11.10000038,8.797,78.95365854,7.977467341
Italy,115.2,13172981900,100,76.7,127.0635662,2.56361412,24.30930843,1.14E+12,3.786955143,1.792397966,10.84000015,32.778,79.77804878,6.400732249
Jamaica,92.08,419600000,84.38311005,47.9,24.19529302,6.231900157,22.56354482,9005064475,0.878703548,10.58708025,15.53999996,48.186,74.142,5.376344086
Jordan,54.74,913258110,98.85403442,31.1,11.8432162,2.015423708,21.94581929,8460424401,4.245712344,-0.40810929,13.69999981,21.73,71.73,6.677367938
Japan,103.31,10688168326,100,37.8,552.9007574,1.517880339,32.51358706,4.97E+12,2.764647551,-1.33626009,4.75,21.351,81.07609756,9.379675363
Kazakhstan,56.66,1370521199,99.47368622,45,3.492246478,8.110783885,37.77582967,18291994909,9.800000002,17.42640268,12.75,43.902,65.45,5.384758323
Kenya,55.98,110904550.4,15.14182186,49.8,1.546489227,28.72178064,15.01585603,12705357103,0.599695392,6.079848488,3.020999908,80.108,50.921,4.146021269
Kyrgyz Republic,77.58,-2360124.961,99.57141113,68.3,1.835569669,34.18770856,29.19961994,1369688498,5.443336633,27.16173805,7.539999962,64.702,68.55853659,4.278782954
Cambodia,41.85,118308566.3,16.6,21.5,0.698704358,35.91870323,21.85665448,3654031716,9.993580322,-4.283226767,0.967999995,81.414,58.432,2.297577312
Kiribati,61.55,721810.265,,31.8,0,19.95974138,10.49336207,67254174.4,6.25,2.034084662,19.05200005,57.042,63.144,0
St. Kitts and Nevis,382.61,96214814.81,94.86717987,52.3,550.8967375,1.54557603,26.84273456,421695769.8,10.04280842,-5.751373934,12.05700016,67.222,,0
"Korea, Rep.",96.45,11509400000,100,36.8,175.3234928,3.857792038,34.75531678,5.76E+11,9.060833325,1.021765005,4.059999943,20.379,75.9097561,4.236583176
Kuwait,39.03,16299834.37,100,10.7,78.88006353,0.35521983,24.1192508,37712842243,4.694581871,20.52171018,0.800000012,1,73.142,25.07827191
Latin America & Caribbean (excluding high income),0.123910087,68982500539,91.00172704,48.61818182,19.88593526,5.086751184,28.12914155,1.98E+12,3.550758474,5.606065153,8.664153942,25.67699304,71.45222166,5.750811504
Lao PDR,41.31,33890000,42.48462296,35.2,0.480063906,33.63025103,16.4770694,1731198022,5.798782326,24.79777661,2.062999964,78.023,58.803,0
Lebanon,107.55,993475000,100,35.4,16.75730417,6.237509608,19.96541122,17260364842,1.341871619,-2.087983147,8.31499958,14,74.507,5.329073554
Liberia,69.96,20800000,100,35.8,0.513959526,76.07454233,4.24715103,874000000,-3.059189762,0.627900034,2.079999924,55.669,51.734,0
Libya,85.35,141000000,99.8,35.8,1.129457262,1.446173496,15.01507311,38270206950,3.679213293,13.30692472,19.67200089,23.613,70.852,9.852707006
St. Lucia,166.41,53748148.15,100,35.7,45.95271466,28.42052271,16.07920065,932592592.6,0.048748554,1.11583405,16.48999977,72.226,73.319,0
Latin America & Caribbean,0.124124996,97255235966,91.69891358,48.86206897,21.32616759,4.870802716,29.49489484,2.29E+12,3.57566557,3.539308495,9.008150224,24.52177589,71.68738957,5.864469562
Least developed countries: UN classification,6.787993568,3801745290,19.21503457,75.39756098,0.340970014,26.87626837,24.14574314,2.18E+11,4.137152923,7.77565021,4.180259376,74.97591375,55.47978628,5.971657558
Low income,11.22832339,1733623452,12.87158561,96.20434783,0.240787095,27.39727744,28.98200558,1.88E+11,2.97066605,9.777061275,4.968771373,72.70916333,53.36597129,0
Sri Lanka,67.5,172941409.8,100,56.7,3.553495756,19.92731504,27.3180768,16330814180,6.00003316,7.277430207,7.739999771,81.62,71.333,4.725472897
Lower middle income,0.25542941,11685756221,62.7341424,50.34285714,1.75797813,18.40134131,30.80089735,1.51E+12,4.431143335,6.325902485,5.66073682,66.29460675,62.61528962,5.021351897
Low & middle income,0.696855307,1.42E+11,73.87243083,57.17931034,5.665660317,11.44739607,33.30252081,6.00E+12,5.788633228,7.687149549,5.551531907,59.94443373,65.37546277,5.770445672
Lesotho,99.83,32402238.3,4.258760108,20.1,0.501108703,7.827134815,35.16430785,887295267.9,3.875546814,6.300218213,35.45700073,80.452,47.691,18.66498639
Late-demographic dividend,0.134071107,1.41E+11,95.77769642,42.9925,13.89986168,8.926891256,36.74784007,3.40E+12,6.983770496,5.647471475,5.178280443,54.39665062,70.90346746,6.445581087
Lithuania,80.75,380272500,100,51.2,177.2521843,5.586050778,26.33555866,11524776867,3.695525421,1.298538346,15.93000031,33.014,72.0195122,5.053981753
Luxembourg,87.69,9874719,100,37.8,1195.377086,0.596866957,16.65467895,21177470978,6.938130249,4.608473023,2.349999905,15.784,77.87317073,0
Latvia,62.21,324184857.5,100,36.2,227.4076246,4.46531916,23.6200242,7958852839,5.675735172,3.618233276,14.21000004,31.933,70.31463415,10.11347784
"Macao SAR, China",90.95,-790000,100,37.8,209.9532715,0.547435712,11.45873568,6774193548,5.74690231,-1.746154995,6.869999886,0,80.407,0
Morocco,53.06,426553283.9,69.55908966,51.7,1.576829438,11.87727963,26.95991476,38857251336,1.912872981,-0.74228819,13.57999992,46.665,68.684,4.623492774
Monaco,92.33,19854574738,100,26.1,786.3180657,2.189573978,24.1192508,2647885849,3.910229226,1.400617939,11.67199993,0,65.268,0
Moldova,84.07,127540000,100,47.5,13.27980871,25.40932153,19.14766937,1288429392,2.107716048,27.32875203,8.460000038,55.411,67.006,9.653484796
Madagascar,72.17,82952580.71,13.23051071,45.3,0.283665947,30.87871729,11.07301006,4629247091,4.456858938,11.57035297,5.800000191,72.879,58.485,12.03738921
Maldives,139.54,22312447.82,83.8,9.3,24.60831761,3.932985731,46.40484826,624337145.3,3.845810392,2.032412452,1.970000029,72.294,70.173,13.2845086
Middle East & North Africa,0.927353793,12237516693,91.0741455,45.67647059,16.47241431,7.301524027,43.11698621,1.05E+12,6.789277153,10.94798496,12.03804159,41.40432609,69.88725675,7.921393625
