Country_Name,Food_production_index,Foreign_direct_investmen,Acces_to_electricity ,Total_tax_and_contribution_rate ,Secure_Internet_servers,Agriculture_forestry_and_fishing_value_added ,Industry_value added_percentof_gdp,GDP ,GDP_growth ,Inflation_GDP_deflator_annual,Unemployment_total_percent_of_total_labor_force,Rural_population_percent_of_total_population,Life_expectancy_at_birth_total_years,International_tourism_expenditures_percent_of_total_imports,category
Jordan,94.77,954929577.5,99.9,28.6,102.8566864,4.840442165,24.53073867,42932112676,1.934091701,1.711128061,18.27000046,9.021,74.405,6.51516269,developing country
Japan,99.15,25289367858,100,46.7,11670.80142,1.04669343,29.0635064,5.04E+12,0.558851275,0.004628939,2.400000095,8.384,84.21097561,3.026315995,developed country
Kazakhstan,114.2,83409074.56,100,29.4,1374.172624,4.395858103,33.4962004,1.79E+11,4.1,9.205605991,4.849999905,42.572,73.15,6.169362954,developing country
Kenya,109.51,1625921131,61.43641663,37.2,217.2298447,20.31491042,17.31314613,92202956321,5.62910144,4.233621101,4.249000072,72.97,66.342,7.48977675,developing country
Kyrgyz Republic,108.05,144222600,100,29,170.0196116,11.67528648,27.47851368,8271108638,3.757910125,3.447445127,6.886000156,63.649,71.4,7.694624604,developing country
Cambodia,106.15,3212633447,91.83401489,21.7,81.10871553,22.0129559,32.28939312,24571753583,7.469169207,3.111821368,0.143000007,76.612,69.57,4.939914556,developing country
Kiribati,104.07,-1144364.717,99.22225952,32.7,43.16223822,29.16078857,12.58049649,200157020.6,3.775954286,5.641280799,26.18899918,45.943,68.116,7.48977675,developed country
St. Kitts and Nevis,103.1,40051767.21,100,49.7,4462.412754,1.086555632,24.54575206,1078518519,2.699999466,-0.997100114,5.947000027,69.224,64.486,9.632449049,2 pending recognition developed country
"Korea, Rep.",100.71,12182600000,100,33.1,2065.122133,1.746403394,34.04580231,1.72E+12,2.907403774,0.482948983,3.819999933,18.541,82.62682927,5.856506804,developing country
Kuwait,126.01,-21377568.82,100,13,412.1031181,0.447338718,60.32072893,1.38E+11,1.246129408,12.58351724,2.164999962,0,75.398,20.99266262,developing country
